Rank,NOC Code,Occupation,# of Online Job Postings,Year Over Year Change (%),Geography,Year,Time,NOC Level,TEER
324,n/a,Other occupations,73200,-32.2,AB,2020,0,4,
1,3012,Registered nurses and registered psychiatric nurses,5700,-21.9,AB,2020,0,4,A: University Education
2,6322,Cooks,5600,-37.8,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
3,6421,Retail salespersons,5300,-45.9,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
4,6311,Food service supervisors,4300,-15.7,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
5,3413,"Nurse aides, orderlies and patient service associates",3600,-2.7,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
6,7514,Delivery and courier service drivers,3600,-2.7,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
7,621,Retail and wholesale trade managers,3500,-45.3,AB,2020,0,4,A: Management
8,1241,Administrative assistants,3200,-30.4,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
9,7452,Material handlers,3000,-11.8,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
10,7511,Transport truck drivers,3000,-23.1,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
11,6411,Sales and account representatives - wholesale trade (non-technical),2900,-43.1,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
13,6211,Retail sales supervisors,2500,-24.2,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
12,1221,Administrative officers,2500,-35.9,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
14,6552,Other customer and information services representatives,2300,-43.9,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
17,6731,Light duty cleaners,2200,-15.4,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
15,1414,Receptionists,2200,-24.1,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
16,6623,Other sales related occupations,2200,-29,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
18,601,Corporate sales managers,2100,-41.7,AB,2020,0,4,A: Management
19,6711,"Food counter attendants, kitchen helpers and related support occupations",2000,-25.9,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
21,6622,"Store shelf stockers, clerks and order fillers",1900,11.8,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
20,3233,Licensed practical nurses,1900,-20.8,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
23,4412,"Home support workers, housekeepers and related occupations",1700,-10.5,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
22,3414,Other assisting occupations in support of health services,1700,-15,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
24,1411,General office support workers,1600,-27.3,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
25,4021,College and other vocational instructors,1600,-40.7,AB,2020,0,4,A: University Education
26,6611,Cashiers,1500,-31.8,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
27,7611,Construction trades helpers and labourers,1300,0,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
31,6513,Food and beverage servers,1100,-26.7,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
32,6541,Security guards and related security service occupations,1100,-26.7,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
28,125,Other business services managers,1100,-31.2,AB,2020,0,4,A: Management
29,1123,"Professional occupations in advertising, marketing and public relations",1100,-31.2,AB,2020,0,4,A: University Education
30,4411,Home child care providers,1100,-54.2,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
37,9619,"Other labourers in processing, manufacturing and utilities",1000,4.2,AB,2020,0,4,D: On-the-job Training or No Formal Education Required
33,1311,Accounting technicians and bookkeepers,1000,0,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
36,7521,Heavy equipment operators (except crane),1000,-28.6,AB,2020,0,4,C: Secondary School and/or Occupation-Specific Training
34,2171,Information systems analysts and consultants,1000,-47.4,AB,2020,0,4,A: University Education
35,6235,Financial sales representatives,1000,-61.5,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
38,4214,Early childhood educators and assistants,970,-35.3,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
39,7271,Carpenters,960,-26.2,AB,2020,0,4,B: College or Vocational Education or Apprenticeship Training
